Flight_ID,Airline,Aircraft_Type,Aircraft_Age_Years,Flight_Phase,Departure_Airport_Code,Arrival_Airport_Code,Flight_Duration_Hours,Last_Maintenance_Hours,Engine_Hours_Since_Overhaul,Pilot_Experience_Hours,CoPilot_Experience_Hours,Number_of_Crew,Total_Onboard,Cargo_Weight_KG,Date,Time_UTC,Season,Visibility_KM,Wind_Speed_KNOTS,Wind_Direction_Degrees,Temperature_Celsius,Precipitation_MM,Weather_Condition,Turbulence_Severity,Departure_Airport_Elevation_FT,Arrival_Airport_Elevation_FT,Route_Complexity,Air_Traffic_Density,Accident,Accident_Severity,Fatalities,Injuries,Aircraft_Damage,Cause_Category
F202012300001,IndiGo,Boeing 737,25,Taxi,ATQ,CCU,2.93,939,2013,12359,9314,5,261,8852,2020-12-30,11:39,Summer,7.24,21,85,18.0,0.0,Clear,Severe,765,18,Multiple_Waypoints,Medium,0,,0,0,,
F202008250002,Star Air,Airbus A321,18,Takeoff,COK,PNQ,2.92,250,2757,3485,1435,8,188,436,2020-08-25,11:33,Monsoon,3.24,35,36,31.6,8.38,Cloudy,Severe,30,1863,Direct,High,0,,0,0,,
F202311080003,Alliance Air,Dornier Do 228,13,Taxi,COK,DEL,4.36,1229,5145,16463,11810,7,304,6625,2023-11-08,19:19,Summer,5.95,33,356,29.7,0.0,Clear,Severe,30,777,Mountainous_Terrain,Low,0,,0,0,,
F202011300004,IndiGo,ATR 72,13,Landing,ATQ,COK,1.48,623,993,15749,3884,11,127,953,2020-11-30,08:40,Summer,1.46,27,263,14.6,0.0,Clear,Severe,765,30,Direct,Medium,0,,0,0,,
F202412250005,FlyBig,Airbus A321,18,Takeoff,BOM,GOI,4.11,546,6487,4371,617,9,50,3403,2024-12-25,02:44,Summer,3.46,0,289,13.4,0.0,Dust_Storm,Severe,39,189,Direct,Medium,0,,0,0,,
F202401070006,Star Air,Airbus A320,23,Parked,IXB,PNQ,1.08,249,5068,19339,8081,5,61,5478,2024-01-07,01:04,Summer,6.03,35,60,38.2,0.0,Cloudy,Severe,412,1863,Mountainous_Terrain,High,0,,0,0,,
F202402160007,SpiceJet,ATR 72,20,Landing,HYD,CCU,4.78,1818,6906,17707,938,11,161,3155,2024-02-16,14:47,Summer,5.08,32,274,21.1,0.0,Cloudy,Moderate,2024,18,Direct,Low,0,,0,0,,
F202209090008,FlyBig,Boeing 787,25,Parked,BOM,CCU,4.3,841,7399,14446,2776,9,324,5657,2022-09-09,09:15,Monsoon,3.89,21,256,31.8,2.94,Thunderstorms,None,39,18,Multiple_Waypoints,High,0,,0,0,,
F202106120009,SpiceJet,Embraer E190,17,Landing,DEL,PNQ,3.23,1385,2093,8646,1555,5,119,7664,2021-06-12,09:27,Monsoon,0.8,39,249,21.1,8.2,Rain,Moderate,777,1863,Direct,Low,0,,0,0,,
F202106090010,Alliance Air,Airbus A321,12,Landing,COK,BBI,4.34,283,6693,12549,3908,12,94,8634,2021-06-09,12:13,Monsoon,3.57,5,1,29.7,5.53,Cloudy,Light,30,85,Direct,High,0,,0,0,,
F202505030011,SpiceJet,ATR 72,7,Landing,BLR,GAU,1.89,427,605,2519,1441,10,332,5410,2025-05-03,23:05,Summer,4.74,12,349,27.8,0.0,Clear,Light,3000,158,Direct,Low,0,,0,0,,
F202503220012,FlyBig,Airbus A320,15,Landing,IXB,CCU,4.82,1497,6711,18505,12174,9,165,5307,2025-03-22,15:40,Summer,2.34,40,249,26.9,0.0,Cloudy,Severe,412,18,Direct,Medium,0,,0,0,,
F202302040013,IndiGo,Boeing 787,1,Parked,BLR,BOM,2.17,1631,6740,9383,4608,7,188,5789,2023-02-04,03:42,Summer,3.98,39,299,10.5,0.0,Clear,Severe,3000,39,Direct,High,0,,0,0,,
F202211190014,Vistara,Boeing 737,15,En_Route,BLR,CCU,2.12,406,7986,6475,4483,5,101,2029,2022-11-19,10:13,Summer,9.44,8,64,26.6,0.0,Cloudy,Moderate,3000,18,Multiple_Waypoints,Low,0,,0,0,,
F202408010015,IndiGo,Airbus A320,9,Taxi,PNQ,DEL,3.39,919,6364,1044,540,11,302,9019,2024-08-01,11:58,Monsoon,9.5,19,67,31.1,12.63,Rain,Moderate,1863,777,Multiple_Waypoints,Low,0,,0,0,,
F202103050016,FlyBig,Airbus A321,16,Taxi,AMD,GAU,2.98,1164,2752,10482,5156,12,101,7211,2021-03-05,12:23,Summer,4.21,27,277,12.8,0.0,Clear,Severe,192,158,Mountainous_Terrain,High,0,,0,0,,
F202010280017,Vistara,ATR 72,3,En_Route,ATQ,BOM,1.92,1686,1586,8928,2789,4,352,7844,2020-10-28,09:53,Summer,4.36,30,302,28.5,0.0,Cloudy,Moderate,765,39,Direct,Medium,0,,0,0,,
F202011120018,Air India,Airbus A320,15,Landing,PNQ,BLR,1.84,1049,7643,1529,577,6,291,1558,2020-11-12,11:50,Summer,5.37,29,122,23.4,0.0,Cloudy,Moderate,1863,3000,Direct,High,0,,0,0,,
F202209080019,Star Air,ATR 72,5,Takeoff,BLR,BOM,3.1,1081,5871,17179,14078,12,227,4393,2022-09-08,04:20,Monsoon,8.69,18,169,27.4,8.91,Cloudy,None,3000,39,Mountainous_Terrain,Medium,0,,0,0,,
F202101030020,Alliance Air,Boeing 787,5,Taxi,MAA,DEL,3.87,824,5353,5604,2370,5,52,29,2021-01-03,22:16,Summer,3.33,10,60,28.5,0.0,Cloudy,None,33,777,Mountainous_Terrain,Low,0,,0,0,,
F202408220021,Alliance Air,ATR 72,6,Parked,CCU,DEL,1.85,1483,3755,17985,13889,9,227,2486,2024-08-22,19:53,Monsoon,1.01,29,217,44.9,0.91,Rain,None,18,777,Mountainous_Terrain,Medium,0,,0,0,,
F202309230022,Air India,Embraer E190,25,Landing,GAU,GOI,4.89,628,6194,18726,14295,11,343,3944,2023-09-23,06:40,Monsoon,9.03,8,345,29.0,3.73,Cloudy,Moderate,158,189,Mountainous_Terrain,Medium,0,,0,0,,
F202007220023,Akasa Air,Boeing 787,22,En_Route,MAA,ATQ,1.6,1772,6731,16994,13729,6,187,3964,2020-07-22,04:58,Monsoon,7.39,34,99,35.5,7.2,Rain,Severe,33,765,Mountainous_Terrain,Medium,0,,0,0,,
F202104030024,Star Air,Embraer E190,8,En_Route,COK,HYD,4.82,829,4998,16846,3970,5,214,3342,2021-04-03,17:12,Summer,7.11,31,254,32.5,0.0,Clear,None,30,2024,Direct,Medium,0,,0,0,,
F202110260025,Air India,Boeing 737,22,En_Route,COK,HYD,2.77,747,4248,17383,10304,8,318,8651,2021-10-26,12:05,Summer,0.65,11,334,36.4,0.0,Clear,Severe,30,2024,Multiple_Waypoints,High,0,,0,0,,
F202106120026,SpiceJet,Dornier Do 228,17,Landing,ATQ,PNQ,4.05,599,2270,9224,1606,12,113,4555,2021-06-12,19:37,Monsoon,5.88,23,8,15.1,0.57,Cloudy,Light,765,1863,Direct,Medium,0,,0,0,,
F202302100027,SpiceJet,Embraer E190,20,Takeoff,ATQ,BBI,3.93,245,937,8166,1780,8,106,6149,2023-02-10,14:59,Summer,4.48,38,194,21.3,0.0,Cloudy,Moderate,765,85,Direct,Low,0,,0,0,,
F202310300028,SpiceJet,Boeing 737,4,Takeoff,ATQ,COK,4.1,664,3159,7532,5930,11,181,3453,2023-10-30,18:06,Summer,0.91,15,342,38.2,0.0,Clear,Severe,765,30,Mountainous_Terrain,Medium,0,,0,0,,
F202402200029,Star Air,Airbus A321,16,Landing,HYD,AMD,2.68,1541,7539,15451,11870,7,199,3211,2024-02-20,12:50,Summer,4.05,18,108,17.4,0.0,Clear,None,2024,192,Mountainous_Terrain,High,0,,0,0,,
F202303190030,Akasa Air,Boeing 737,5,Takeoff,BOM,PNQ,2.98,1635,5150,14129,5074,9,69,1746,2023-03-19,06:23,Summer,4.23,26,64,41.8,0.0,Clear,None,39,1863,Multiple_Waypoints,Low,0,,0,0,,
F202105080031,Alliance Air,ATR 72,14,Landing,BLR,BBI,3.45,159,2891,9330,1233,4,351,970,2021-05-08,17:47,Summer,1.8,2,89,16.1,0.0,Clear,None,3000,85,Mountainous_Terrain,Low,0,,0,0,,
F202507040032,FlyBig,Boeing 737,4,Taxi,BOM,GOI,0.81,124,3269,11283,9061,7,355,3705,2025-07-04,06:40,Monsoon,3.92,40,70,41.1,11.39,Thunderstorms,None,39,189,Multiple_Waypoints,High,0,,0,0,,
F202307260033,FlyBig,ATR 72,24,En_Route,BOM,CCU,0.62,410,5061,3890,3116,9,64,4147,2023-07-26,03:05,Monsoon,9.38,29,151,33.8,7.67,Cloudy,Severe,39,18,Multiple_Waypoints,Low,0,,0,0,,
F202309170034,Air India,Dornier Do 228,10,Parked,BOM,MAA,4.08,1921,799,4110,1960,4,86,236,2023-09-17,22:59,Monsoon,9.77,23,278,42.9,5.89,Thunderstorms,Light,39,33,Multiple_Waypoints,Medium,0,,0,0,,
F202301190035,Akasa Air,Airbus A320,6,En_Route,CCU,HYD,0.84,1446,6646,18577,2924,5,341,6693,2023-01-19,23:33,Summer,3.25,1,20,26.3,0.0,Clear,Moderate,18,2024,Multiple_Waypoints,Low,0,,0,0,,
F202401060036,FlyBig,ATR 72,14,Takeoff,HYD,AMD,3.93,1709,7710,9712,6292,11,60,5444,2024-01-06,17:55,Summer,7.12,3,11,40.8,0.0,Clear,None,2024,192,Mountainous_Terrain,Low,0,,0,0,,
F202410170037,Star Air,Airbus A321,16,Landing,ATQ,AMD,2.66,200,4085,5403,1076,12,393,8884,2024-10-17,11:55,Summer,8.91,24,119,39.5,0.0,Cloudy,Light,765,192,Mountainous_Terrain,Low,0,,0,0,,
F202405060038,Star Air,ATR 72,13,Landing,ATQ,IXB,2.28,1114,2887,10561,3103,8,187,2076,2024-05-06,16:48,Summer,5.31,9,249,17.0,0.0,Clear,Moderate,765,412,Direct,Low,0,,0,0,,
F202302150039,SpiceJet,Airbus A320,10,En_Route,COK,IXB,1.21,1684,1235,5653,2553,4,142,9901,2023-02-15,13:04,Summer,9.08,26,33,42.8,0.0,Cloudy,Light,30,412,Mountainous_Terrain,High,0,,0,0,,
F202506070040,Star Air,Airbus A321,20,Takeoff,BOM,CCU,1.19,1357,5293,11797,7800,7,361,5078,2025-06-07,03:54,Monsoon,7.32,12,245,43.3,9.42,Rain,None,39,18,Mountainous_Terrain,Medium,0,,0,0,,
F202204160041,SpiceJet,Boeing 737,5,Landing,HYD,PNQ,3.44,1860,5228,18086,15692,7,92,2164,2022-04-16,19:38,Summer,5.48,9,187,18.9,0.0,Clear,Moderate,2024,1863,Mountainous_Terrain,High,0,,0,0,,
F202209190042,FlyBig,ATR 72,22,Landing,MAA,CCU,2.06,1427,2856,1351,669,6,179,2498,2022-09-19,05:14,Monsoon,4.94,24,142,37.0,12.0,Thunderstorms,Severe,33,18,Mountainous_Terrain,Medium,0,,0,0,,
F202410230043,FlyBig,Boeing 737,3,Landing,HYD,DEL,0.51,1716,6332,19626,16027,8,253,7622,2024-10-23,07:18,Summer,9.25,20,34,10.9,0.0,Dust_Storm,Light,2024,777,Mountainous_Terrain,High,0,,0,0,,
F202201310044,FlyBig,Dornier Do 228,7,Landing,GAU,COK,0.52,1824,531,9563,4615,12,384,2824,2022-01-31,17:55,Summer,5.92,19,256,37.8,0.0,Clear,Light,158,30,Multiple_Waypoints,High,0,,0,0,,
F202506150045,SpiceJet,Airbus A320,14,En_Route,ATQ,BLR,3.14,1917,7773,7219,5480,11,176,2142,2025-06-15,19:59,Monsoon,1.87,12,292,43.1,6.6,Thunderstorms,Moderate,765,3000,Multiple_Waypoints,Low,0,,0,0,,
F202412170046,IndiGo,Boeing 737,21,En_Route,CCU,GAU,3.04,650,3922,8176,6612,9,54,270,2024-12-17,15:52,Summer,9.11,20,340,20.2,0.0,Dust_Storm,Light,18,158,Multiple_Waypoints,Medium,0,,0,0,,
F202408050047,Alliance Air,Boeing 737,17,Takeoff,BLR,IXB,0.85,1973,948,16155,2272,10,115,2461,2024-08-05,03:51,Monsoon,9.05,23,175,28.2,3.88,Cloudy,Severe,3000,412,Mountainous_Terrain,Medium,0,,0,0,,
F202503240048,Star Air,Airbus A320,3,Landing,PNQ,MAA,4.94,1031,3834,18355,14973,10,95,2100,2025-03-24,07:36,Summer,5.97,26,320,38.6,0.0,Clear,Moderate,1863,33,Mountainous_Terrain,Low,0,,0,0,,
F202204250049,SpiceJet,Boeing 787,3,Takeoff,PNQ,HYD,2.82,759,2415,8625,6680,8,275,8863,2022-04-25,19:56,Summer,6.63,15,317,12.3,0.0,Cloudy,Light,1863,2024,Mountainous_Terrain,Low,0,,0,0,,
F202204280050,Vistara,Boeing 787,12,Parked,GAU,PNQ,2.41,1324,3652,6229,3677,6,136,8586,2022-04-28,10:32,Summer,9.83,21,264,17.0,0.0,Cloudy,Light,158,1863,Direct,High,0,,0,0,,
F202201100051,FlyBig,ATR 72,14,Takeoff,BBI,MAA,1.02,1906,7145,2008,886,6,95,9523,2022-01-10,17:51,Summer,3.35,27,302,23.4,0.0,Clear,Severe,85,33,Multiple_Waypoints,Medium,0,,0,0,,
F202405210052,Air India,Boeing 787,22,Parked,BOM,PNQ,2.03,1522,3787,18477,622,4,58,7811,2024-05-21,20:50,Summer,7.42,40,228,29.7,0.0,Cloudy,Severe,39,1863,Mountainous_Terrain,Low,0,,0,0,,
F202009240053,SpiceJet,Airbus A320,1,Parked,CCU,IXB,3.93,113,5788,13337,4077,11,277,9520,2020-09-24,15:56,Monsoon,8.1,24,341,27.4,13.23,Cloudy,Moderate,18,412,Multiple_Waypoints,High,0,,0,0,,
F202209250054,SpiceJet,Embraer E190,20,Takeoff,ATQ,MAA,4.29,1282,6540,16311,7340,10,280,2656,2022-09-25,13:57,Monsoon,7.72,36,0,11.4,3.56,Rain,None,765,33,Mountainous_Terrain,Medium,0,,0,0,,
